grouping,level,condition,runs,hidden_verified_successes,hidden_verified_rate,hidden_ci95_low,hidden_ci95_high,visible_successes,mean_elapsed_seconds,parse_failure_runs
origin_type,manual_challenge,fixed-workflow,8,0,0.0,0.0,0.32440756488388023,0,157.06799672224975,7
origin_type,mutmut,fixed-workflow,45,37,0.8222222222222222,0.6867017537354023,0.9070561048589585,38,96.6183160369552,8
origin_type,manual_challenge,full-reflective-agent,8,0,0.0,0.0,0.32440756488388023,0,315.90949031799937,7
origin_type,mutmut,full-reflective-agent,45,34,0.7555555555555555,0.6132661994297965,0.8576452056622828,36,237.85720505299977,9
origin_type,manual_challenge,one-shot,8,0,0.0,0.0,0.32440756488388023,0,130.70837428637503,3
origin_type,mutmut,one-shot,45,37,0.8222222222222222,0.6867017537354023,0.9070561048589585,38,78.67130451382216,6
origin_type,manual_challenge,tool-agent-no-reflection,8,0,0.0,0.0,0.32440756488388023,0,464.1039286653754,8
origin_type,mutmut,tool-agent-no-reflection,45,31,0.6888888888888889,0.5433519442263318,0.804713007363466,33,329.8603853158221,13
difficulty,easy,fixed-workflow,33,26,0.7878787878787878,0.6224835500784931,0.8932397846697919,27,91.16127571233307,6
difficulty,hard,fixed-workflow,8,0,0.0,0.0,0.32440756488388023,0,157.06799672224975,7
difficulty,medium,fixed-workflow,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,11,111.6251769296661,2
difficulty,easy,full-reflective-agent,33,25,0.7575757575757576,0.5897538017044264,0.8716828662282499,26,240.94070090181776,7
difficulty,hard,full-reflective-agent,8,0,0.0,0.0,0.32440756488388023,0,315.90949031799937,7
difficulty,medium,full-reflective-agent,12,9,0.75,0.46769466506643426,0.9110583316059453,10,229.37759146875032,2
difficulty,easy,one-shot,33,26,0.7878787878787878,0.6224835500784931,0.8932397846697919,27,75.49667071539388,4
difficulty,hard,one-shot,8,0,0.0,0.0,0.32440756488388023,0,130.70837428637503,3
difficulty,medium,one-shot,12,11,0.9166666666666666,0.646120088858883,0.9851349055950829,11,87.40154745949992,2
difficulty,easy,tool-agent-no-reflection,33,21,0.6363636363636364,0.466161783022664,0.7781282176475764,22,325.28188803936337,11
difficulty,hard,tool-agent-no-reflection,8,0,0.0,0.0,0.32440756488388023,0,464.1039286653754,8
difficulty,medium,tool-agent-no-reflection,12,10,0.8333333333333334,0.5519691377470266,0.9530348578161463,11,342.4512528260836,2
defect_category,cursor_state_protocol,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,0.8516050469997936,0
defect_category,graph_algorithm_invariant,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,324.5116758709992,1
defect_category,idempotent_financial_state,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,218.05059657600032,1
defect_category,multi_line_interval_logic,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,229.31633197799965,1
defect_category,mutmut_arithmetic,fixed-workflow,24,19,0.7916666666666666,0.5952954674681133,0.9075517464714814,19,99.32241334491648,5
defect_category,mutmut_boolean,fixed-workflow,7,7,1.0,0.6456695649333126,1.0,7,127.38358943699912,1
defect_category,mutmut_boundary,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,1.066243201999896,1
defect_category,mutmut_collection,fixed-workflow,5,4,0.8,0.37553462976252533,0.9637758913675698,4,89.56339941939987,1
defect_category,mutmut_comparison,fixed-workflow,2,2,1.0,0.34238022750665303,1.0,2,55.91422337700078,0
defect_category,mutmut_constant,fixed-workflow,6,5,0.8333333333333334,0.43649717781352987,0.9699466302516935,6,85.28158137883231,0
defect_category,recursive_data_merge,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,162.82198073499967,1
defect_category,state_machine_parser,fixed-workflow,1,0,0.0,0.0,0.7934506856227626,0,152.86659988500014,1
