task_id,one-shot,fixed-workflow,tool-agent-no-reflection,full-reflective-agent,origin_type,difficulty,defect_category
challenge-csv-record-parser,0,0,0,0,manual_challenge,hard,state_machine_parser
challenge-cursor-pagination,0,0,0,0,manual_challenge,hard,cursor_state_protocol
challenge-deep-config-merge,0,0,0,0,manual_challenge,hard,recursive_data_merge
challenge-interval-merge,0,0,0,0,manual_challenge,hard,multi_line_interval_logic
challenge-inventory-reservation,0,0,0,0,manual_challenge,hard,transactional_state_management
challenge-ledger-reconciliation,0,0,0,0,manual_challenge,hard,idempotent_financial_state
challenge-rolling-rate-limit,0,0,0,0,manual_challenge,hard,stateful_window_algorithm
challenge-topological-order,0,0,0,0,manual_challenge,hard,graph_algorithm_invariant
mutmut-alg-mutmut-algorithms-core-x-add-mutmut-1,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-alg-mutmut-algorithms-core-x-clamp-mutmut-10,0,0,0,0,mutmut,easy,mutmut_constant
mutmut-alg-mutmut-algorithms-core-x-count-vowels-mutmut-1,1,1,1,1,mutmut,easy,mutmut_constant
mutmut-alg-mutmut-algorithms-core-x-factorial-mutmut-10,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-alg-mutmut-algorithms-core-x-flatten-once-mutmut-1,1,1,1,1,mutmut,medium,mutmut_collection
mutmut-alg-mutmut-algorithms-core-x-gcd-mutmut-6,1,1,0,1,mutmut,easy,mutmut_arithmetic
mutmut-alg-mutmut-algorithms-core-x-has-balanced-parentheses-mutmut-11,1,1,1,0,mutmut,easy,mutmut_arithmetic
mutmut-alg-mutmut-algorithms-core-x-is-even-mutmut-1,1,1,1,1,mutmut,easy,mutmut_comparison
mutmut-alg-mutmut-algorithms-core-x-is-palindrome-mutmut-5,1,1,1,1,mutmut,easy,mutmut_comparison
mutmut-alg-mutmut-algorithms-core-x-lcm-mutmut-10,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-alg-mutmut-algorithms-core-x-median-mutmut-15,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-alg-mutmut-algorithms-core-x-merge-sorted-mutmut-12,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-alg-mutmut-algorithms-core-x-multiply-mutmut-1,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-alg-mutmut-algorithms-core-x-normalize-whitespace-mutmut-1,1,1,1,1,mutmut,easy,mutmut_constant
mutmut-alg-mutmut-algorithms-core-x-safe-divide-mutmut-6,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-col-mutmut-collections-core-x-bounded-slice-mutmut-20,0,0,0,0,mutmut,medium,mutmut_collection
mutmut-col-mutmut-collections-core-x-chunked-mutmut-10,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-col-mutmut-collections-core-x-cumulative-sum-mutmut-5,1,1,0,1,mutmut,easy,mutmut_arithmetic
mutmut-col-mutmut-collections-core-x-first-non-none-mutmut-1,1,1,1,1,mutmut,medium,mutmut_boolean
mutmut-col-mutmut-collections-core-x-flatten-once-mutmut-1,1,1,1,0,mutmut,medium,mutmut_collection
mutmut-col-mutmut-collections-core-x-frequency-map-mutmut-3,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-col-mutmut-collections-core-x-index-of-max-mutmut-1,1,1,1,1,mutmut,medium,mutmut_boolean
mutmut-col-mutmut-collections-core-x-interleave-mutmut-1,1,1,1,1,mutmut,medium,mutmut_collection
mutmut-col-mutmut-collections-core-x-merge-counts-mutmut-4,1,1,0,1,mutmut,easy,mutmut_arithmetic
mutmut-col-mutmut-collections-core-x-mode-mutmut-12,0,0,0,0,mutmut,easy,mutmut_arithmetic
mutmut-col-mutmut-collections-core-x-pairwise-differences-mutmut-1,1,1,0,1,mutmut,easy,mutmut_arithmetic
mutmut-col-mutmut-collections-core-x-partition-by-sign-mutmut-4,0,0,0,0,mutmut,easy,mutmut_boundary
mutmut-col-mutmut-collections-core-x-rotate-left-mutmut-3,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-col-mutmut-collections-core-x-take-until-mutmut-1,1,1,1,1,mutmut,medium,mutmut_collection
mutmut-col-mutmut-collections-core-x-transpose-mutmut-1,1,1,1,1,mutmut,medium,mutmut_boolean
mutmut-txt-mutmut-textdata-core-x-camel-to-snake-mutmut-10,0,0,0,0,mutmut,easy,mutmut_arithmetic
mutmut-txt-mutmut-textdata-core-x-count-substring-mutmut-1,1,1,1,1,mutmut,medium,mutmut_boolean
mutmut-txt-mutmut-textdata-core-x-format-bytes-mutmut-31,0,0,0,0,mutmut,easy,mutmut_arithmetic
mutmut-txt-mutmut-textdata-core-x-format-initials-mutmut-2,1,1,1,1,mutmut,easy,mutmut_arithmetic
mutmut-txt-mutmut-textdata-core-x-longest-common-prefix-mutmut-11,1,1,0,1,mutmut,easy,mutmut_arithmetic
