task_id,full_succeeded,full_status,full_patches,full_steps,full_tool_calls,one_shot_succeeded,one_shot_status,one_shot_patches,one_shot_steps,one_shot_tool_calls,no_retry_succeeded,no_retry_status,no_retry_patches,no_retry_steps,no_retry_tool_calls
mutmut-alg-mutmut-algorithms-core-x-add-mutmut-1,True,succeeded,1,5,5,True,succeeded,1,5,5,True,succeeded,1,5,5
mutmut-alg-mutmut-algorithms-core-x-binary-search-mutmut-1,True,succeeded,1,5,5,True,succeeded,1,5,5,True,succeeded,1,5,5
mutmut-alg-mutmut-algorithms-core-x-clamp-mutmut-5,False,budget_exhausted,2,10,10,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-count-vowels-mutmut-1,False,escalated,0,3,3,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-factorial-mutmut-1,True,succeeded,1,5,5,True,succeeded,1,5,5,True,succeeded,1,5,5
mutmut-alg-mutmut-algorithms-core-x-fibonacci-mutmut-1,True,succeeded,1,5,5,True,succeeded,1,5,5,True,succeeded,1,5,5
mutmut-alg-mutmut-algorithms-core-x-flatten-once-mutmut-1,False,budget_exhausted,2,10,10,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-gcd-mutmut-1,False,escalated,0,3,3,False,escalated,0,3,3,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-has-balanced-parentheses-mutmut-1,False,escalated,1,7,7,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-is-even-mutmut-1,True,succeeded,2,9,9,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-is-palindrome-mutmut-1,False,escalated,1,7,7,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-lcm-mutmut-2,False,escalated,0,3,3,False,escalated,0,3,3,False,escalated,0,3,3
mutmut-alg-mutmut-algorithms-core-x-median-mutmut-1,False,budget_exhausted,2,10,10,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-merge-sorted-mutmut-1,False,escalated,0,3,3,False,escalated,0,3,3,False,escalated,0,3,3
mutmut-alg-mutmut-algorithms-core-x-multiply-mutmut-1,False,budget_exhausted,2,10,10,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-normalize-whitespace-mutmut-1,True,succeeded,1,5,5,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-safe-divide-mutmut-1,True,succeeded,1,5,5,True,succeeded,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-subtract-mutmut-1,False,budget_exhausted,2,10,10,False,escalated,1,5,5,False,budget_exhausted,1,6,6
mutmut-alg-mutmut-algorithms-core-x-to-base-mutmut-7,True,succeeded,1,5,5,True,succeeded,1,5,5,True,succeeded,1,5,5
mutmut-alg-mutmut-algorithms-core-x-unique-preserve-order-mutmut-1,False,escalated,0,3,3,False,escalated,0,3,3,False,escalated,0,3,3
